MAPE,MAE,MSE,R2,Tiempo
4.623247,0.964465,1.592757,1.007734,0.115000
4.737030,0.990420,1.668610,1.021924,0.113000
6.251576,1.256193,2.432840,1.679509,0.114000
5.581059,1.131801,2.073397,1.464104,0.114000
5.331031,1.157609,2.203632,0.334630,0.114000
4.668365,0.988455,1.669470,0.752267,0.113000
6.078644,1.257192,2.535404,0.935508,0.113000
6.569547,1.312953,2.668260,1.677334,0.113000
4.935827,1.052635,1.861381,0.671155,0.114000
5.829173,1.174609,2.195733,1.551887,0.114000
6.966581,1.388235,2.933500,1.780906,0.113000
5.439335,1.103847,1.974353,1.439374,0.114000
6.800247,1.380492,3.003278,1.342968,0.111000
6.642552,1.333286,2.756038,1.623823,0.111000
5.933018,1.207366,2.342480,1.219061,0.113000
4.633844,0.972451,1.623014,0.933505,0.114000
6.019324,1.211685,2.298277,1.608293,0.113000
5.039334,1.029823,1.766703,1.314731,0.115000
4.997661,1.045162,1.825289,0.987314,0.114000
4.871371,1.016256,1.741302,1.021331,0.112000
4.928892,1.012647,1.723747,1.260606,0.113000
7.246633,1.443188,3.149644,1.797980,0.111000
5.883665,1.190094,2.226042,1.585590,0.113000
4.672277,0.991736,1.676385,0.742094,0.114000
4.500256,0.967218,1.613873,0.657139,0.113000
4.861485,1.020346,1.755475,0.887401,0.112000
5.017918,1.028004,1.764005,1.276309,0.113000
5.213150,1.067074,1.867117,1.194243,0.114000
4.532106,0.956812,1.580661,0.878753,0.113000
5.657519,1.150846,2.143848,1.383375,0.113000
4.681641,0.967534,1.593043,1.107205,0.113000
5.945071,1.257528,2.552268,0.739321,0.112000
6.449080,1.300302,2.687246,1.332635,0.113000
4.845012,1.027157,1.786078,0.830503,0.113000
4.781343,1.001142,1.695898,0.928713,0.113000
5.254786,1.069280,1.880012,1.391768,0.114000
5.050545,1.044051,1.814948,1.146982,0.114000
5.303697,1.094339,1.977626,1.203707,0.114000
5.754286,1.164550,2.163268,1.523291,0.114000
5.177311,1.108437,2.050299,0.704259,0.112000
4.528826,0.956658,1.578084,0.878253,0.113000
4.720413,1.001080,1.702097,0.765310,0.113000
5.176555,1.110511,2.049078,0.494256,0.113000
4.581660,0.971730,1.619926,0.822858,0.120000
4.671188,0.968536,1.604805,1.122412,0.114000
4.611806,0.974596,1.626370,0.837341,0.113000
4.807157,0.995233,1.672042,1.090843,0.113000
4.919175,1.054926,1.884723,0.592653,0.112000
4.807669,0.997764,1.683189,1.087864,0.113000
5.263050,1.074973,1.903045,1.299076,0.114000
5.513630,1.204016,2.369131,0.232621,0.112000
5.031790,1.076355,1.940563,0.594114,0.112000
5.810234,1.268286,2.560657,0.109888,0.113000
4.493664,0.944090,1.544049,0.974364,0.114000
5.235386,1.093602,1.965434,0.866926,0.114000
4.626476,0.976075,1.634476,0.909643,0.114000
5.434996,1.176155,2.283027,0.377582,0.113000
4.977118,1.052821,1.849090,0.723786,0.113000
5.993164,1.222985,2.408998,1.399370,0.112000
5.090702,1.061231,1.872280,0.956041,0.112000
5.569421,1.212307,2.390315,0.223193,0.114000
5.056846,1.036126,1.791088,1.352893,0.112000
4.571229,0.977277,1.649474,0.713267,0.112000
5.466386,1.113611,2.018784,1.392248,0.113000
4.693045,0.983593,1.649567,0.936097,0.114000
